source,direction,mcs_table,mcs_index,prb_count,tbs_bits,code_block_size_bits,code_block_count,sinr_db_at_tbler_10pct,fit_method
ns-3-5g-lena,PDSCH,Table 1,0,10,288,400,1,-0.8232340318365794,linear
ns-3-5g-lena,PDSCH,Table 1,0,100,2792,2880,1,-0.8581158306305668,linear
ns-3-5g-lena,PDSCH,Table 1,0,200,5640,2880,2,-0.8275316028686666,linear
ns-3-5g-lena,PDSCH,Table 1,1,10,368,520,1,-0.15854303576889772,linear
ns-3-5g-lena,PDSCH,Table 1,1,100,3752,3840,1,1.0016952334465994,linear
ns-3-5g-lena,PDSCH,Table 1,1,200,7304,3840,2,1.4421460590657287,linear
ns-3-5g-lena,PDSCH,Table 1,2,10,456,600,1,0.5157106904126264,linear
ns-3-5g-lena,PDSCH,Table 1,2,100,4488,2400,2,0.3411561315171575,linear
ns-3-5g-lena,PDSCH,Table 1,2,200,8976,3200,3,0.3417430781593388,linear
ns-3-5g-lena,PDSCH,Table 1,3,10,608,720,1,1.4039407410306706,linear
ns-3-5g-lena,PDSCH,Table 1,3,100,5896,3200,2,1.281590444403372,linear
ns-3-5g-lena,PDSCH,Table 1,3,200,11784,3200,4,1.3042226482797852,linear
ns-3-5g-lena,PDSCH,Table 1,4,10,736,800,1,2.026880621374773,linear
ns-3-5g-lena,PDSCH,Table 1,4,100,7168,7744,1,2.0490594172579137,linear
ns-3-5g-lena,PDSCH,Table 1,4,200,14344,7744,2,2.1402713738325683,linear
ns-3-5g-lena,PDSCH,Table 1,5,10,888,960,1,2.8552692023848874,linear
ns-3-5g-lena,PDSCH,Table 1,5,100,8968,4576,2,3.084129577888005,linear
ns-3-5g-lena,PDSCH,Table 1,5,200,17928,6336,3,2.944219813762103,linear
ns-3-5g-lena,PDSCH,Table 1,6,10,1064,1120,1,3.702868520337647,linear
ns-3-5g-lena,PDSCH,Table 1,6,100,10504,5632,2,3.5702589107314964,linear
ns-3-5g-lena,PDSCH,Table 1,6,200,21000,7040,3,3.6868366241585964,linear
ns-3-5g-lena,PDSCH,Table 1,7,10,1256,1280,1,4.257115852354086,linear
ns-3-5g-lena,PDSCH,Table 1,7,100,12296,6336,2,4.283560980787097,linear
ns-3-5g-lena,PDSCH,Table 1,7,200,24576,8448,3,4.4689045029355015,linear
ns-3-5g-lena,PDSCH,Table 1,8,10,1416,1440,1,4.935575597091817,linear
ns-3-5g-lena,PDSCH,Table 1,8,100,14088,7744,2,4.974361416115844,linear
ns-3-5g-lena,PDSCH,Table 1,8,200,28168,7744,4,4.992035695901218,linear
ns-3-5g-lena,PDSCH,Table 1,9,10,1608,1760,1,5.7628589762524385,linear
ns-3-5g-lena,PDSCH,Table 1,9,100,15880,8448,2,5.922007341903004,linear
ns-3-5g-lena,PDSCH,Table 1,9,200,31752,8448,4,6.00117815832653,linear
ns-3-5g-lena,PDSCH,Table 1,10,10,1608,1760,1,6.398003979302234,linear
ns-3-5g-lena,PDSCH,Table 1,10,100,15880,8448,2,6.522689333818712,linear
ns-3-5g-lena,PDSCH,Table 1,10,200,31752,8448,4,6.618489090355691,linear
ns-3-5g-lena,PDSCH,Table 1,11,10,1800,1920,1,7.097981430065636,linear
ns-3-5g-lena,PDSCH,Table 1,11,100,17928,6336,3,6.973255315546462,linear
ns-3-5g-lena,PDSCH,Table 1,11,200,35856,7744,5,7.075271590033928,linear
ns-3-5g-lena,PDSCH,Table 1,12,10,2088,2240,1,7.877632849238947,linear
ns-3-5g-lena,PDSCH,Table 1,12,100,20496,7040,3,8.019492706748508,linear
ns-3-5g-lena,PDSCH,Table 1,12,200,40976,8448,5,7.977184263806401,linear
ns-3-5g-lena,PDSCH,Table 1,13,10,2280,2400,1,8.572052641738068,linear
ns-3-5g-lena,PDSCH,Table 1,13,100,23040,7744,3,8.621284855486067,linear
ns-3-5g-lena,PDSCH,Table 1,13,200,46104,7744,6,8.651338533542088,linear
ns-3-5g-lena,PDSCH,Table 1,14,10,2600,2880,1,9.643769356433754,linear
ns-3-5g-lena,PDSCH,Table 1,14,100,26120,7040,4,9.505264937810772,linear
ns-3-5g-lena,PDSCH,Table 1,14,200,52224,7744,7,9.564859992826007,linear
ns-3-5g-lena,PDSCH,Table 1,15,10,2976,3200,1,10.463802792472466,linear
ns-3-5g-lena,PDSCH,Table 1,15,100,28680,7744,4,10.5012923391096,linear
ns-3-5g-lena,PDSCH,Table 1,15,200,57376,8448,7,10.695673930936772,linear
ns-3-5g-lena,PDSCH,Table 1,16,10,3104,3200,1,11.017817826615927,linear
ns-3-5g-lena,PDSCH,Table 1,16,100,30728,7744,4,11.164635454893352,linear
ns-3-5g-lena,PDSCH,Table 1,16,200,61480,7744,8,11.192205639334654,linear
ns-3-5g-lena,PDSCH,Table 1,17,10,3104,3200,1,11.737708019916969,linear
ns-3-5g-lena,PDSCH,Table 1,17,100,30728,7744,4,11.904534249444874,linear
ns-3-5g-lena,PDSCH,Table 1,17,200,61480,7744,8,11.919476226000503,linear
ns-3-5g-lena,PDSCH,Table 1,18,10,3368,3520,1,12.415696651607899,linear
ns-3-5g-lena,PDSCH,Table 1,18,100,32776,8448,4,12.458445686423687,linear
ns-3-5g-lena,PDSCH,Table 1,18,200,65576,8448,8,12.471309893715562,linear
ns-3-5g-lena,PDSCH,Table 1,19,10,3624,3840,1,13.310412578435816,linear
ns-3-5g-lena,PDSCH,Table 1,19,100,35856,7744,5,13.387324996397362,linear
ns-3-5g-lena,PDSCH,Table 1,19,200,71688,8448,9,13.525880198343264,linear
ns-3-5g-lena,PDSCH,Table 1,20,10,3968,4224,1,14.427263557518664,linear
ns-3-5g-lena,PDSCH,Table 1,20,100,39936,8448,5,14.488878197826772,linear
ns-3-5g-lena,PDSCH,Table 1,20,200,79896,8448,10,14.542282115692327,linear
ns-3-5g-lena,PDSCH,Table 1,21,10,4352,4576,1,14.963668131265216,linear
ns-3-5g-lena,PDSCH,Table 1,21,100,43032,7744,6,15.273495489840245,linear
ns-3-5g-lena,PDSCH,Table 1,21,200,86040,8448,11,15.579372978101135,linear
ns-3-5g-lena,PDSCH,Table 1,22,10,4608,4928,1,15.926648021206837,linear
ns-3-5g-lena,PDSCH,Table 1,22,100,47112,8448,6,16.160794863130892,linear
ns-3-5g-lena,PDSCH,Table 1,22,200,94248,8448,12,16.26803127300098,linear
ns-3-5g-lena,PDSCH,Table 1,23,10,4992,5280,1,16.945864721520294,linear
ns-3-5g-lena,PDSCH,Table 1,23,100,50184,8448,6,18.753734613596773,linear
ns-3-5g-lena,PDSCH,Table 1,23,200,100392,8448,12,18.96422329490764,linear
ns-3-5g-lena,PDSCH,Table 1,24,10,5376,5632,1,17.94630640283662,linear
ns-3-5g-lena,PDSCH,Table 1,24,100,54296,8448,7,20.14598357665596,linear
ns-3-5g-lena,PDSCH,Table 1,24,200,108552,8448,13,20.32915640789299,linear
ns-3-5g-lena,PDSCH,Table 1,25,10,5760,6336,1,18.78035402853044,linear
ns-3-5g-lena,PDSCH,Table 1,25,100,57376,8448,7,21.062650094695314,linear
ns-3-5g-lena,PDSCH,Table 1,25,200,114776,8448,14,21.278450596037775,linear
ns-3-5g-lena,PDSCH,Table 1,26,10,6144,6336,1,19.764705520781042,linear
ns-3-5g-lena,PDSCH,Table 1,26,100,61480,7744,8,19.963831743910053,linear
ns-3-5g-lena,PDSCH,Table 1,26,200,122976,8448,15,22.389356122930597,linear
ns-3-5g-lena,PDSCH,Table 1,27,10,6400,7040,1,20.933516390267513,linear
ns-3-5g-lena,PDSCH,Table 1,27,100,63528,8448,8,23.58742804944251,linear
ns-3-5g-lena,PDSCH,Table 1,27,200,127080,8448,16,23.85752620716691,linear
ns-3-5g-lena,PDSCH,Table 1,28,10,6656,7040,1,25.011852295513137,linear
ns-3-5g-lena,PDSCH,Table 1,28,100,67584,7744,9,26.31407552760131,linear
ns-3-5g-lena,PDSCH,Table 1,28,200,135296,8448,17,26.83264520050134,linear
ns-3-5g-lena,PDSCH,Table 2,0,10,288,400,1,-0.8232340318365794,linear
ns-3-5g-lena,PDSCH,Table 2,0,100,2792,2880,1,-0.8581158306305668,linear
ns-3-5g-lena,PDSCH,Table 2,0,200,5640,2880,2,-0.8275316028686666,linear
ns-3-5g-lena,PDSCH,Table 2,1,10,456,600,1,0.5157106904126264,linear
ns-3-5g-lena,PDSCH,Table 2,1,100,4488,2400,2,0.3411561315171575,linear
ns-3-5g-lena,PDSCH,Table 2,1,200,8976,3200,3,0.3417430781593388,linear
ns-3-5g-lena,PDSCH,Table 2,2,10,736,800,1,2.026880621374773,linear
ns-3-5g-lena,PDSCH,Table 2,2,100,7168,7744,1,2.0490594172579137,linear
ns-3-5g-lena,PDSCH,Table 2,2,200,14344,7744,2,2.1402713738325683,linear
ns-3-5g-lena,PDSCH,Table 2,3,10,1064,1120,1,3.702868520337647,linear
ns-3-5g-lena,PDSCH,Table 2,3,100,10504,5632,2,3.5702589107314964,linear
ns-3-5g-lena,PDSCH,Table 2,3,200,21000,7040,3,3.6868366241585964,linear
ns-3-5g-lena,PDSCH,Table 2,4,10,1416,1440,1,4.935575597091817,linear
ns-3-5g-lena,PDSCH,Table 2,4,100,14088,7744,2,4.974361416115844,linear
ns-3-5g-lena,PDSCH,Table 2,4,200,28168,7744,4,4.992035695901218,linear
ns-3-5g-lena,PDSCH,Table 2,5,10,1800,1920,1,7.097981430065636,linear
ns-3-5g-lena,PDSCH,Table 2,5,100,17928,6336,3,6.973255315546462,linear
ns-3-5g-lena,PDSCH,Table 2,5,200,35856,7744,5,7.075271590033928,linear
ns-3-5g-lena,PDSCH,Table 2,6,10,2088,2240,1,7.877632849238947,linear
ns-3-5g-lena,PDSCH,Table 2,6,100,20496,7040,3,8.019492706748508,linear
ns-3-5g-lena,PDSCH,Table 2,6,200,40976,8448,5,7.977184263806401,linear
ns-3-5g-lena,PDSCH,Table 2,7,10,2280,2400,1,8.572052641738068,linear
ns-3-5g-lena,PDSCH,Table 2,7,100,23040,7744,3,8.621284855486067,linear
ns-3-5g-lena,PDSCH,Table 2,7,200,46104,7744,6,8.651338533542088,linear
ns-3-5g-lena,PDSCH,Table 2,8,10,2600,2880,1,9.643769356433754,linear
ns-3-5g-lena,PDSCH,Table 2,8,100,26120,7040,4,9.505264937810772,linear
ns-3-5g-lena,PDSCH,Table 2,8,200,52224,7744,7,9.564859992826007,linear
ns-3-5g-lena,PDSCH,Table 2,9,10,2976,3200,1,10.463802792472466,linear
ns-3-5g-lena,PDSCH,Table 2,9,100,28680,7744,4,10.5012923391096,linear
ns-3-5g-lena,PDSCH,Table 2,9,200,57376,8448,7,10.695673930936772,linear
ns-3-5g-lena,PDSCH,Table 2,10,10,3104,3200,1,11.017817826615927,linear
ns-3-5g-lena,PDSCH,Table 2,10,100,30728,7744,4,11.164635454893352,linear
ns-3-5g-lena,PDSCH,Table 2,10,200,61480,7744,8,11.192205639334654,linear
ns-3-5g-lena,PDSCH,Table 2,11,10,3368,3520,1,12.415696651607899,linear
ns-3-5g-lena,PDSCH,Table 2,11,100,32776,8448,4,12.458445686423687,linear
ns-3-5g-lena,PDSCH,Table 2,11,200,65576,8448,8,12.471309893715562,linear
ns-3-5g-lena,PDSCH,Table 2,12,10,3624,3840,1,13.310412578435816,linear
ns-3-5g-lena,PDSCH,Table 2,12,100,35856,7744,5,13.387324996397362,linear
ns-3-5g-lena,PDSCH,Table 2,12,200,71688,8448,9,13.525880198343264,linear
ns-3-5g-lena,PDSCH,Table 2,13,10,3968,4224,1,14.427263557518664,linear
ns-3-5g-lena,PDSCH,Table 2,13,100,39936,8448,5,14.488878197826772,linear
ns-3-5g-lena,PDSCH,Table 2,13,200,79896,8448,10,14.542282115692327,linear
ns-3-5g-lena,PDSCH,Table 2,14,10,4352,4576,1,14.963668131265216,linear
ns-3-5g-lena,PDSCH,Table 2,14,100,43032,7744,6,15.273495489840245,linear
ns-3-5g-lena,PDSCH,Table 2,14,200,86040,8448,11,15.579372978101135,linear
ns-3-5g-lena,PDSCH,Table 2,15,10,4608,4928,1,15.926648021206837,linear
ns-3-5g-lena,PDSCH,Table 2,15,100,47112,8448,6,16.160794863130892,linear
ns-3-5g-lena,PDSCH,Table 2,15,200,94248,8448,12,16.26803127300098,linear
ns-3-5g-lena,PDSCH,Table 2,16,10,4992,5280,1,16.945864721520294,linear
ns-3-5g-lena,PDSCH,Table 2,16,100,50184,8448,6,18.753734613596773,linear
ns-3-5g-lena,PDSCH,Table 2,16,200,100392,8448,12,18.96422329490764,linear
ns-3-5g-lena,PDSCH,Table 2,17,10,5376,5632,1,17.94630640283662,linear
ns-3-5g-lena,PDSCH,Table 2,17,100,54296,8448,7,20.14598357665596,linear
ns-3-5g-lena,PDSCH,Table 2,17,200,108552,8448,13,20.32915640789299,linear
ns-3-5g-lena,PDSCH,Table 2,18,10,5760,6336,1,18.78035402853044,linear
ns-3-5g-lena,PDSCH,Table 2,18,100,57376,8448,7,21.062650094695314,linear
ns-3-5g-lena,PDSCH,Table 2,18,200,114776,8448,14,21.278450596037775,linear
ns-3-5g-lena,PDSCH,Table 2,19,10,6144,6336,1,19.764705520781042,linear
ns-3-5g-lena,PDSCH,Table 2,19,100,61480,7744,8,19.963831743910053,linear
ns-3-5g-lena,PDSCH,Table 2,19,200,122976,8448,15,22.389356122930597,linear
ns-3-5g-lena,PDSCH,Table 2,20,10,6400,7040,1,21.0979726880278,linear
ns-3-5g-lena,PDSCH,Table 2,20,100,63528,8448,8,21.09552503146568,linear
ns-3-5g-lena,PDSCH,Table 2,20,200,127080,8448,16,21.120053949422953,linear
ns-3-5g-lena,PDSCH,Table 2,21,10,6656,7040,1,21.549592725041087,linear
ns-3-5g-lena,PDSCH,Table 2,21,100,67584,7744,9,21.90454612485074,linear
ns-3-5g-lena,PDSCH,Table 2,21,200,135296,8448,17,24.29255761017353,linear
ns-3-5g-lena,PDSCH,Table 2,22,10,7040,7744,1,22.633546133052736,linear
ns-3-5g-lena,PDSCH,Table 2,22,100,71688,8448,9,24.84667371183144,linear
ns-3-5g-lena,PDSCH,Table 2,22,200,143400,8448,18,25.117475751209977,linear
ns-3-5g-lena,PDSCH,Table 2,23,10,7424,7744,1,23.466126256613755,linear
ns-3-5g-lena,PDSCH,Table 2,23,100,73776,8448,9,26.35241373397476,linear
ns-3-5g-lena,PDSCH,Table 2,23,200,147576,8448,18,26.551867008948914,linear
ns-3-5g-lena,PDSCH,Table 2,24,10,7808,8448,1,26.61745058523465,linear
ns-3-5g-lena,PDSCH,Table 2,24,100,77896,8448,10,27.43610492920432,linear
ns-3-5g-lena,PDSCH,Table 2,24,200,155776,8448,19,27.58063486307345,linear
ns-3-5g-lena,PDSCH,Table 2,25,10,8192,8448,1,27.932560001743127,linear
ns-3-5g-lena,PDSCH,Table 2,25,100,83976,8448,10,28.839721633935753,linear
ns-3-5g-lena,PDSCH,Table 2,25,200,167976,8448,20,29.029995064838545,linear
ns-3-5g-lena,PDSCH,Table 2,26,10,8456,4576,2,26.26402656355726,linear
ns-3-5g-lena,PDSCH,Table 2,26,100,86040,8448,11,28.83845123434472,linear
