source,direction,mcs_table,mcs_index,prb_count,sinr_db,tbler,tbs_bits,code_block_size_bits,code_block_count
ns-3-5g-lena,PDSCH,Table 1,0,10,-2.16,0.9903846,288,400,1
ns-3-5g-lena,PDSCH,Table 1,0,10,-1.425,0.5223029,288,400,1
ns-3-5g-lena,PDSCH,Table 1,0,10,-0.69,0.00649999999999995,288,400,1
ns-3-5g-lena,PDSCH,Table 1,0,10,0.045,0.0,288,400,1
ns-3-5g-lena,PDSCH,Table 1,0,100,-1.83,1.0,2792,2880,1
ns-3-5g-lena,PDSCH,Table 1,0,100,-1.2975,0.5567686,2792,2880,1
ns-3-5g-lena,PDSCH,Table 1,0,100,-0.765,0.0031999999999999806,2792,2880,1
ns-3-5g-lena,PDSCH,Table 1,0,100,-0.2325,9.999999999998899e-05,2792,2880,1
ns-3-5g-lena,PDSCH,Table 1,0,100,0.3,0.0,2792,2880,1
ns-3-5g-lena,PDSCH,Table 1,0,200,-1.83,1.0,5640,2880,2
ns-3-5g-lena,PDSCH,Table 1,0,200,-1.2975,0.80354592605404,5640,2880,2
ns-3-5g-lena,PDSCH,Table 1,0,200,-0.765,0.006389759999999911,5640,2880,2
ns-3-5g-lena,PDSCH,Table 1,0,200,-0.2325,0.00019998999999992773,5640,2880,2
ns-3-5g-lena,PDSCH,Table 1,0,200,0.3,0.0,5640,2880,2
ns-3-5g-lena,PDSCH,Table 1,1,10,-1.3225,0.9923077,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,10,-0.92307,0.8690878,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,10,-0.52364,0.4392241,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,10,-0.12421,0.06810000000000005,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,10,0.27522,0.0026000000000000467,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,10,0.67,0.0,368,520,1
ns-3-5g-lena,PDSCH,Table 1,1,100,-1.4,0.9038462,3752,3840,1
ns-3-5g-lena,PDSCH,Table 1,1,100,-0.3,0.5473404,3752,3840,1
ns-3-5g-lena,PDSCH,Table 1,1,100,0.8,0.12148740000000002,3752,3840,1
ns-3-5g-lena,PDSCH,Table 1,1,100,1.9,0.0042999999999999705,3752,3840,1
ns-3-5g-lena,PDSCH,Table 1,1,100,3.0,0.0,3752,3840,1
ns-3-5g-lena,PDSCH,Table 1,1,200,-1.4,0.99075444674556,7304,3840,2
ns-3-5g-lena,PDSCH,Table 1,1,200,-0.3,0.7950992865278399,7304,3840,2
ns-3-5g-lena,PDSCH,Table 1,1,200,0.8,0.22821561164124005,7304,3840,2
ns-3-5g-lena,PDSCH,Table 1,1,200,1.9,0.008581509999999959,7304,3840,2
ns-3-5g-lena,PDSCH,Table 1,1,200,3.0,0.0,7304,3840,2
ns-3-5g-lena,PDSCH,Table 1,2,10,-0.5899,0.9865385,456,600,1
ns-3-5g-lena,PDSCH,Table 1,2,10,-0.15397,0.7434211,456,600,1
ns-3-5g-lena,PDSCH,Table 1,2,10,0.28195,0.20360619999999996,456,600,1
ns-3-5g-lena,PDSCH,Table 1,2,10,0.71787,0.010399999999999965,456,600,1
ns-3-5g-lena,PDSCH,Table 1,2,10,1.1538,0.0,456,600,1
ns-3-5g-lena,PDSCH,Table 1,2,100,-0.47077,0.99984375,4488,2400,2
ns-3-5g-lena,PDSCH,Table 1,2,100,-0.1837,0.96062255859375,4488,2400,2
ns-3-5g-lena,PDSCH,Table 1,2,100,0.10338,0.4453946536451101,4488,2400,2
ns-3-5g-lena,PDSCH,Table 1,2,100,0.39045,0.028395509999999957,4488,2400,2
ns-3-5g-lena,PDSCH,Table 1,2,100,0.67753,0.000399959999999977,4488,2400,2
ns-3-5g-lena,PDSCH,Table 1,2,200,-0.7,1.0,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,-0.225,0.9992821450173022,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,0.09,0.6517855790402927,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,0.25,0.20082124800000012,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,0.41,0.024988912703999944,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,0.725,0.0008997300269999453,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,2,200,1.2,0.0005998800079999311,8976,3200,3
ns-3-5g-lena,PDSCH,Table 1,3,10,0.45644,0.9730769,608,720,1
ns-3-5g-lena,PDSCH,Table 1,3,10,0.86921,0.6666667,608,720,1
ns-3-5g-lena,PDSCH,Table 1,3,10,1.282,0.13963210000000004,608,720,1
ns-3-5g-lena,PDSCH,Table 1,3,10,1.6947,0.00550000000000006,608,720,1
ns-3-5g-lena,PDSCH,Table 1,3,10,2.1075,0.0,608,720,1
ns-3-5g-lena,PDSCH,Table 1,3,100,0.51455,1.0,5896,3200,2
ns-3-5g-lena,PDSCH,Table 1,3,100,0.91014,0.87696370431591,5896,3200,2
ns-3-5g-lena,PDSCH,Table 1,3,100,1.3057,0.049569990000000064,5896,3200,2
ns-3-5g-lena,PDSCH,Table 1,3,100,1.7013,0.0,5896,3200,2
ns-3-5g-lena,PDSCH,Table 1,3,200,0.51455,1.0,11784,3200,4
ns-3-5g-lena,PDSCH,Table 1,3,200,0.91014,0.9848620699443372,11784,3200,4
ns-3-5g-lena,PDSCH,Table 1,3,200,1.3057,0.09668279609139996,11784,3200,4
ns-3-5g-lena,PDSCH,Table 1,3,200,1.7013,0.0,11784,3200,4
ns-3-5g-lena,PDSCH,Table 1,4,10,1.2475,1.0,736,800,1
ns-3-5g-lena,PDSCH,Table 1,4,10,1.73,0.6107143,736,800,1
ns-3-5g-lena,PDSCH,Table 1,4,10,1.965,0.13367130000000005,736,800,1
ns-3-5g-lena,PDSCH,Table 1,4,10,2.2,0.005800000000000027,736,800,1
ns-3-5g-lena,PDSCH,Table 1,4,10,2.6825,0.0,736,800,1
ns-3-5g-lena,PDSCH,Table 1,4,100,1.2,1.0,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,100,1.55,0.9257246,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,100,1.725,0.5852535,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,100,1.9,0.1739583,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,100,2.25,0.00029999999999996696,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,100,2.775,0.0,7168,7744,1
ns-3-5g-lena,PDSCH,Table 1,4,200,1.2,1.0,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,4,200,1.55,0.99448316495484,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,4,200,1.725,0.82798534073775,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,4,200,1.9,0.31765510986111,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,4,200,2.25,0.0005999099999999258,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,4,200,2.775,0.0,14344,7744,2
ns-3-5g-lena,PDSCH,Table 1,5,10,1.66,1.0,888,960,1
ns-3-5g-lena,PDSCH,Table 1,5,10,2.07,0.9961538,888,960,1
ns-3-5g-lena,PDSCH,Table 1,5,10,2.48,0.7266949,888,960,1
ns-3-5g-lena,PDSCH,Table 1,5,10,2.89,0.04200000000000004,888,960,1
ns-3-5g-lena,PDSCH,Table 1,5,10,3.3,0.0,888,960,1
ns-3-5g-lena,PDSCH,Table 1,5,100,1.6,1.0,8968,4576,2
ns-3-5g-lena,PDSCH,Table 1,5,100,2.16,0.99981878801775,8968,4576,2
ns-3-5g-lena,PDSCH,Table 1,5,100,2.4325,0.93162073106751,8968,4576,2
ns-3-5g-lena,PDSCH,Table 1,5,100,2.71,0.30684950779644005,8968,4576,2
ns-3-5g-lena,PDSCH,Table 1,5,100,3.265,0.0,8968,4576,2
ns-3-5g-lena,PDSCH,Table 1,5,200,1.4,1.0,17928,6336,3
ns-3-5g-lena,PDSCH,Table 1,5,200,2.2,0.9999998888749217,17928,6336,3
ns-3-5g-lena,PDSCH,Table 1,5,200,2.73,0.44385931670049217,17928,6336,3
ns-3-5g-lena,PDSCH,Table 1,5,200,3.0,0.01046329287500014,17928,6336,3
ns-3-5g-lena,PDSCH,Table 1,5,200,3.27,0.0,17928,6336,3
ns-3-5g-lena,PDSCH,Table 1,6,10,2.5,1.0,1064,1120,1
ns-3-5g-lena,PDSCH,Table 1,6,10,2.9375,0.9836538,1064,1120,1
ns-3-5g-lena,PDSCH,Table 1,6,10,3.375,0.3882979,1064,1120,1
ns-3-5g-lena,PDSCH,Table 1,6,10,3.8125,0.0036000000000000476,1064,1120,1
ns-3-5g-lena,PDSCH,Table 1,6,10,4.25,0.0,1064,1120,1
ns-3-5g-lena,PDSCH,Table 1,6,100,2.1,1.0,10504,5632,2
ns-3-5g-lena,PDSCH,Table 1,6,100,3.0,0.998001194736,10504,5632,2
ns-3-5g-lena,PDSCH,Table 1,6,100,3.3,0.6613300074470398,10504,5632,2
ns-3-5g-lena,PDSCH,Table 1,6,100,3.6,0.03822751000000002,10504,5632,2
ns-3-5g-lena,PDSCH,Table 1,6,100,3.9,0.0,10504,5632,2
ns-3-5g-lena,PDSCH,Table 1,6,200,2.88,0.9999999991111104,21000,7040,3
ns-3-5g-lena,PDSCH,Table 1,6,200,3.2175,0.978584783053049,21000,7040,3
ns-3-5g-lena,PDSCH,Table 1,6,200,3.555,0.16410311200000016,21000,7040,3
ns-3-5g-lena,PDSCH,Table 1,6,200,3.8925,0.0,21000,7040,3
ns-3-5g-lena,PDSCH,Table 1,7,10,3.21,1.0,1256,1280,1
ns-3-5g-lena,PDSCH,Table 1,7,10,3.67,0.9498175,1256,1280,1
ns-3-5g-lena,PDSCH,Table 1,7,10,3.905,0.59375,1256,1280,1
ns-3-5g-lena,PDSCH,Table 1,7,10,4.14,0.1341561,1256,1280,1
ns-3-5g-lena,PDSCH,Table 1,7,10,4.6,0.0,1256,1280,1
ns-3-5g-lena,PDSCH,Table 1,7,100,3.2176,1.0,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,100,3.6,0.99959227102071,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,100,3.7972,0.93010966632316,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,100,3.99,0.41262368253696,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,100,4.3769,0.0005999099999999258,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,100,4.9565,0.0,12296,6336,2
ns-3-5g-lena,PDSCH,Table 1,7,200,3.21,1.0,24576,8448,3
ns-3-5g-lena,PDSCH,Table 1,7,200,3.67,0.9998736262479841,24576,8448,3
ns-3-5g-lena,PDSCH,Table 1,7,200,3.905,0.932952880859375,24576,8448,3
ns-3-5g-lena,PDSCH,Table 1,7,200,4.14,0.3508892450925921,24576,8448,3
ns-3-5g-lena,PDSCH,Table 1,7,200,4.6,0.0,24576,8448,3
ns-3-5g-lena,PDSCH,Table 1,8,10,4.4,0.9546296,1416,1440,1
ns-3-5g-lena,PDSCH,Table 1,8,10,4.675,0.5407839,1416,1440,1
ns-3-5g-lena,PDSCH,Table 1,8,10,4.95,0.0756,1416,1440,1
ns-3-5g-lena,PDSCH,Table 1,8,10,5.225,0.0018000000000000238,1416,1440,1
ns-3-5g-lena,PDSCH,Table 1,8,10,5.5,0.0,1416,1440,1
ns-3-5g-lena,PDSCH,Table 1,8,100,4.2,1.0,14088,7744,2
ns-3-5g-lena,PDSCH,Table 1,8,100,4.6,0.950466601279,14088,7744,2
ns-3-5g-lena,PDSCH,Table 1,8,100,5.0,0.04175479000000004,14088,7744,2
ns-3-5g-lena,PDSCH,Table 1,8,100,5.4,0.0,14088,7744,2
ns-3-5g-lena,PDSCH,Table 1,8,200,4.2,1.0,28168,7744,4
ns-3-5g-lena,PDSCH,Table 1,8,200,4.6,0.9975464424111464,28168,7744,4
ns-3-5g-lena,PDSCH,Table 1,8,200,5.0,0.08176611751205598,28168,7744,4
ns-3-5g-lena,PDSCH,Table 1,8,200,5.4,0.0,28168,7744,4
ns-3-5g-lena,PDSCH,Table 1,9,10,4.5,1.0,1608,1760,1
ns-3-5g-lena,PDSCH,Table 1,9,10,4.9,0.9990385,1608,1760,1
ns-3-5g-lena,PDSCH,Table 1,9,10,5.3,0.8559603,1608,1760,1
ns-3-5g-lena,PDSCH,Table 1,9,10,5.7,0.11851420000000001,1608,1760,1
ns-3-5g-lena,PDSCH,Table 1,9,10,6.1,0.0007000000000000339,1608,1760,1
